tract_fips,state_fips,county_fips,county_name,tract_vintage,tract_lat,tract_lon,total_population,total_pop_18plus,places_year,mhlth_crude_prev,mhlth_state_percentile,mhlth_low_ci,mhlth_high_ci,pm25_annual,tree_canopy_pct,poverty_rate,housing_burden_pct,dist_to_mental_health,n_core_features_present,model_ready_all5,has_tree_canopy_data,plc_access2,plc_arthritis,plc_binge,plc_bphigh,plc_bpmed,plc_cancer,plc_casthma,plc_chd,plc_checkup,plc_cholscreen,plc_cognition,plc_colon_screen,plc_copd,plc_csmoking,plc_dental,plc_depression,plc_diabetes,plc_disability,plc_emotionspt,plc_foodinsecu,plc_foodstamp,plc_ghlth,plc_hearing,plc_highchol,plc_housinsecu,plc_indeplive,plc_lacktrpt,plc_loneliness,plc_lpa,plc_mammouse,plc_mobility,plc_obesity,plc_phlth,plc_selfcare,plc_shututility,plc_sleep,plc_stroke,plc_teethlost,plc_vision,depression_low_ci,depression_high_ci,pm25_max_daily_2021,pm25_pct_days_above_9ugm3,pm25_pct_days_above_35ugm3,ozone_days_above_70ppb_2021,ozone_days_above_70ppb_2022,ozone_max_ppb_2021,ozone_max_ppb_2022,ozone_mean_ppb_2021,ozone_mean_ppb_2022,ozone_mean_ppb_2yr,ozone_exceedance_days_2yr,ces4_score,ces4_percentile,ces4_ozone,ces4_pm25_2015_2017,ces4_diesel_pm,ces4_drinking_water,ces4_lead,ces4_pesticides,ces4_tox_release,ces4_traffic,ces4_cleanup_sites,ces4_groundwater_threats,ces4_haz_waste,ces4_imp_water_bodies,ces4_solid_waste,ces4_pollution_burden_score,ces4_pollution_burden_pctl,ces4_asthma_ed_rate,ces4_low_birth_weight,ces4_cvd_ed_rate,education_pct_less_hs,linguistic_isolation_pct,unemployment_rate,ces4_pop_char_score,ces4_pop_char_pctl,n_mental_health_within_5mi,n_mental_health_within_10mi,n_mental_health_within_25mi,dist_to_any_care_mi,n_any_care_within_5mi,n_any_care_within_10mi,n_any_care_within_25mi,dist_to_hospital_mi,n_hospital_within_5mi,n_hospital_within_10mi,n_hospital_within_25mi,dist_to_primary_care_mi,n_primary_care_within_5mi,n_primary_care_within_10mi,n_primary_care_within_25mi,psych_beds_within_25mi,green_cov_pct_2009,green_cov_pct_2012,green_cov_pct_2014,green_cov_pct_2016,green_cov_pct_2018,green_cov_pct_2020,green_cov_pct_2022,green_cov_change_2009_2022,park_access_green_pct_2022,county_nonfarm_emp_2025,county_nonfarm_emp_2024,county_nonfarm_emp_2019,county_emp_yoy_pct_2025,county_emp_change_vs_2019_pct,county_health_social_emp_2025,county_health_social_emp_share_pct,us_poverty_rate_2024_acs1yr,us_rent_burden_30plus_pct_2024_acs1yr,us_rent_burden_50plus_pct_2024_acs1yr,poverty_rate_vs_us_ratio,housing_burden_vs_us_ratio,pm25_change_vs_ces4_baseline,pm25_state_percentile,poverty_state_percentile,housing_burden_state_percentile,mh_access_barrier_percentile
06001400100,06,06001,Alameda,2020,37.8677,-122.2319,3038,2633,2023,11.6,3.08,10.3,13.1,8.7048,,10.4713,11.2241,2.037,4,0,0,2.6,25.1,15.2,31.7,76.9,10.9,8.8,5.6,78.5,92.9,7.9,71.4,3.8,5.2,78.2,18.9,9.8,22.7,19.3,5.0,4.0,12.0,5.9,37.9,4.9,4.5,3.6,30.9,13.1,78.6,9.7,20.5,9.8,2.2,2.8,28.4,2.8,2.7,2.7,16.5,21.7,27.378,40.8219,0.0,0.0,0.0,58.251,55.563,30.8131,29.1538,29.9834,0.0,4.8553,2.8162,0.0294,8.9535,0.0933,110.4122,15.5277,0.0,627.1005,963.1967,8.9527,12.2958,1.9903,2.01,0.9971,4.1508,26.5713,15.6548,3.8466,5.2563,3.2865,1.1961,3.5619,1.1702,1.5531,3,4,24,1.607,56,131,393,1.607,7,10,50,1.631,45,114,310,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,0.862,0.217,-0.249,28.32,10.64,19.74,30.56
06001400200,06,06001,Alameda,2020,37.8481,-122.2496,2001,1652,2023,13.4,12.23,11.7,15.3,8.6513,,10.5973,4.0042,1.535,4,0,0,3.6,21.5,18.7,27.1,71.8,9.1,9.1,4.7,74.4,90.7,9.1,69.5,3.5,6.2,78.4,21.3,7.9,21.9,19.5,5.9,5.2,12.0,5.1,33.3,6.0,4.7,4.2,32.2,12.7,80.2,8.5,21.7,9.4,2.0,3.4,27.9,2.3,4.0,2.6,18.6,24.4,26.112,39.726,0.0,0.0,0.0,56.672,54.863,30.3752,28.6746,29.5249,0.0,4.8819,2.8741,0.0294,9.2986,0.5906,110.4124,61.7089,0.0,609.9647,716.8644,0.0,44.2439,0.165,0.0,0.0,4.0317,24.175,20.4831,4.0485,8.1397,0.4,0.0029,2.9994,1.2109,1.652,4,5,24,0.683,84,154,401,0.683,7,14,51,1.105,71,133,317,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,0.872,0.077,-0.647,27.13,10.84,0.72,21.03
06001400300,06,06001,Alameda,2020,37.8406,-122.2545,5504,4654,2023,14.4,21.03,12.7,16.3,8.6175,,10.384,8.9431,1.555,4,0,0,3.8,20.2,18.9,26.3,70.1,7.8,9.6,4.1,73.6,90.2,9.9,66.6,3.4,6.7,76.2,21.7,7.8,22.3,21.2,7.2,6.4,12.5,4.5,31.4,7.4,5.1,4.9,33.9,13.3,78.3,8.6,22.8,9.6,2.1,4.2,30.5,2.3,5.9,2.8,19.0,24.7,25.788,39.4521,0.0,0.0,0.0,56.013,54.676,30.2522,28.5242,29.3882,0.0,11.3018,16.1506,0.0294,9.4468,0.4978,110.4124,58.8247,0.0,598.7443,781.0976,0.9269,39.0257,0.5982,0.0,0.0,4.478,33.4718,31.1969,3.7928,8.8976,5.6045,7.9798,3.8991,2.5203,12.4903,4,5,24,0.574,94,165,401,0.733,7,15,52,0.574,81,143,316,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,0.855,0.173,-0.829,26.39,10.52,9.96,21.4
06001400400,06,06001,Alameda,2020,37.8483,-122.2574,4112,3421,2023,15.4,31.92,13.7,17.6,8.6485,,20.9734,14.7819,1.269,4,0,0,3.8,18.1,20.4,23.8,66.7,6.8,9.8,3.6,71.6,88.8,10.4,65.0,3.2,7.0,73.7,23.3,6.9,21.6,20.9,7.3,6.8,12.1,4.0,29.2,7.6,5.1,5.1,34.5,12.9,77.6,7.7,23.0,9.3,2.0,4.4,31.5,2.0,4.3,2.7,20.4,26.4,25.765,40.0,0.0,0.0,0.0,55.955,54.772,30.2565,28.595,29.4257,0.0,12.3654,18.9118,0.0294,9.3665,0.3267,110.4124,60.8349,0.0,624.9798,720.3436,0.0,60.3155,0.3148,0.0,0.0,4.1261,26.1763,49.2333,4.4776,8.0652,4.7403,0.9,2.4819,2.9967,18.3804,4,5,24,0.528,81,164,388,0.528,7,15,50,0.677,68,142,305,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,1.726,0.286,-0.718,27.07,36.15,37.15,15.74
06001400500,06,06001,Alameda,2020,37.8485,-122.2647,3644,3087,2023,17.0,52.98,15.0,19.4,8.6454,,21.9315,14.8148,1.108,4,0,0,4.8,17.7,20.3,25.1,66.1,5.6,10.3,3.6,70.9,87.5,12.0,63.0,3.4,8.6,69.5,23.4,7.8,23.8,23.8,10.4,10.1,14.2,3.9,28.1,10.6,6.0,6.8,36.6,15.0,77.3,8.7,25.5,10.1,2.5,6.1,34.4,2.2,6.0,3.3,20.5,26.7,25.352,40.0,0.0,0.0,0.0,55.58,54.742,30.1708,28.5291,29.35,0.0,16.7477,29.7716,0.0294,9.369,0.2329,110.4124,61.5434,0.0,641.8578,863.319,3.5216,36.9537,0.3506,0.0,0.0,4.3823,31.4401,86.2916,3.65,11.1078,2.3006,1.6988,3.8327,3.8216,30.179,4,6,24,0.279,79,170,386,0.651,7,17,50,0.279,66,145,303,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,1.805,0.286,-0.724,26.97,38.24,37.88,13.05
06001400600,06,06001,Alameda,2020,37.842,-122.2649,1788,1494,2023,17.9,64.64,15.8,20.3,8.6201,,16.0,18.0,1.544,4,0,0,5.0,17.7,20.2,25.2,65.5,5.2,10.8,3.5,70.7,87.2,12.7,64.4,3.5,9.2,68.4,23.8,7.8,24.4,25.3,11.5,11.3,14.8,3.7,27.3,11.8,6.4,7.4,37.9,15.3,79.9,9.0,26.3,10.4,2.6,6.8,35.6,2.3,4.8,3.4,20.8,27.2,25.544,40.0,0.0,0.0,0.0,55.123,54.494,30.1246,28.4255,29.275,0.0,20.0243,37.5946,0.0294,9.3697,0.3828,110.4124,62.8256,0.0,616.1283,1164.2152,1.75,29.8,0.37,0.0,0.0,4.6223,36.9384,101.53,2.56,12.8,2.8,1.0,7.5,4.3321,37.6954,4,6,24,0.374,90,177,392,0.374,7,17,50,0.45,77,152,309,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,1.317,0.348,-0.75,26.45,23.91,54.68,21.24
06001400700,06,06001,Alameda,2020,37.8417,-122.2723,4508,3866,2023,17.3,56.96,15.3,19.5,8.6021,,33.2414,22.1291,1.541,4,0,0,5.0,17.8,19.3,26.6,67.2,5.0,10.5,3.7,71.5,87.2,12.4,62.7,3.5,8.7,69.1,22.9,8.7,24.8,24.6,12.0,12.1,15.4,3.7,27.8,12.0,6.5,7.7,37.1,16.1,79.7,9.5,27.0,10.3,2.8,7.2,35.8,2.5,5.3,3.8,20.0,26.0,25.015,40.0,0.0,0.0,0.0,54.773,54.392,30.045,28.3775,29.2113,0.0,36.5833,69.8986,0.0294,9.4079,0.3506,110.4124,68.3475,0.0,626.7871,912.653,9.1472,56.5823,0.5574,10.0,0.0,5.7182,61.7302,103.6473,5.5817,10.6091,12.2,4.7922,6.9832,6.3964,68.1809,4,7,24,0.125,86,179,386,0.439,7,18,50,0.125,73,152,303,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,2.736,0.427,-0.806,26.1,59.18,71.53,21.16
06001400800,06,06001,Alameda,2020,37.8454,-122.2832,3917,3332,2023,16.8,50.29,14.7,19.2,8.6058,,35.5403,20.6587,1.515,4,0,0,5.5,17.9,18.8,26.8,67.3,5.2,10.0,3.9,71.2,86.8,12.3,63.9,3.6,9.0,68.5,21.9,8.9,25.2,25.4,12.6,12.3,15.9,4.0,28.7,11.9,6.5,7.7,37.3,16.9,78.2,9.8,26.0,10.5,2.8,6.9,35.0,2.5,4.8,3.9,19.1,25.0,24.709,40.0,0.0,0.0,0.0,54.466,54.307,29.9633,28.3667,29.165,0.0,37.0591,70.6391,0.0294,9.452,0.2459,110.4124,65.4967,0.0,643.0987,682.1455,45.8479,146.8485,2.7864,10.0005,0.0026,5.9177,66.3718,115.871,7.3915,11.0081,5.6013,2.6908,5.6893,6.2626,66.1288,3,9,24,0.331,75,181,383,1.063,7,20,50,0.331,63,150,300,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,2.925,0.399,-0.846,26.2,62.72,65.87,20.64
06001400900,06,06001,Alameda,2020,37.8394,-122.2803,2514,2121,2023,19.6,82.27,17.3,22.0,8.5771,,28.2431,23.2747,1.53,4,0,0,6.3,18.0,19.6,25.8,64.5,4.8,11.1,3.6,70.2,85.8,14.7,61.3,4.0,11.3,66.1,24.4,8.5,27.1,27.5,15.1,15.0,17.4,3.7,27.6,14.8,7.6,9.1,39.8,18.3,76.3,10.2,28.0,11.7,3.1,8.3,37.2,2.4,5.6,4.1,21.4,27.7,24.688,40.0,0.0,0.0,0.0,54.511,54.116,29.9599,28.2931,29.1265,0.0,40.6155,75.9971,0.0294,9.4566,0.3531,110.4124,76.8896,0.0,607.5367,591.589,22.549,114.7555,1.0539,10.0,0.0074,5.9204,66.4762,119.2,7.8576,11.18,8.8665,10.2338,5.4881,6.8616,74.592,4,9,24,0.221,83,188,385,0.742,7,21,52,0.221,70,156,300,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,2.325,0.45,-0.879,25.72,51.06,75.54,20.91
06001401000,06,06001,Alameda,2020,37.8312,-122.2719,6097,5198,2023,18.5,71.34,16.3,20.7,8.5509,,27.009,28.4595,0.829,4,0,0,6.4,16.3,19.7,25.4,63.9,4.2,10.6,3.4,69.8,85.2,13.9,61.2,3.6,10.1,67.4,23.0,8.3,25.9,27.0,15.0,14.9,16.9,3.5,26.5,14.4,7.1,9.0,39.2,17.5,78.4,9.5,27.6,10.8,3.0,8.3,36.0,2.3,6.1,4.1,20.1,26.1,24.935,39.4521,0.0,0.0,0.0,54.339,54.005,30.0123,28.2503,29.1313,0.0,43.6928,80.3412,0.0294,9.6189,1.4805,110.4124,79.0225,0.0,573.4147,1456.357,27.517,170.6457,1.066,9.9594,0.0,6.6772,81.7277,92.4963,6.8988,9.3241,16.161,8.0812,4.9948,6.5431,70.2389,4,9,24,0.471,97,190,398,0.471,8,21,53,0.569,83,158,312,681,,,,,,,,,,800358.3333,805258.3333,814483.3333,-0.609,-1.734,131850.0,16.474,12.15,51.77,26.08,2.223,0.55,-1.068,25.3,48.82,88.22,8.13
